NOMBRE|DIRECCION|DESCRIPCION|LAT|LONG|TIPO|URL
El Gato del Río |Av. 4 Oe. #3 Oeste-2 | El Gato del Río es una obra del pintor y escultor Hernando Tejada la cual donó a la ciudad de Cali, Colombia, y que fue instalada en la ribera del río tutelar de la ciudad, en el sector noroeste de la ciudad, conocido como Normandía |3.451413 |-76.543158|monumento|https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.colombia.travel%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Factivity_banner%2Fpublic%2F13Visita-El-gato-del-rio.jpg%3Fitok%3Dx4-CDP9y&imgrefurl=http%3A%2F%2Fwww.colombia.travel%2Fes%2Fa-donde-ir%2Fpacifica%2Fcali%2Factividades%2Fvisita-el-gato-del-rio&docid=nKpuWdGE1Dn2TM&tbnid=q6kQ9lSBblGAjM%3A&vet=10ahUKEwjI9r7OieDXAhUD5SYKHf6pBk8QMwgkKAAwAA..i&w=710&h=330&client=ubuntu&bih=983&biw=1855&q=El%20Gato%20del%20R%C3%ADo&ved=0ahUKEwjI9r7OieDXAhUD5SYKHf6pBk8QMwgkKAAwAA&iact=mrc&uact=8
Monumento a Cristo Rey | Cali, Valle del Cauca | Cristo Rey es una estatua de 26 metros de altura ubicada en el Cerro los Cristales a 1440 msnm en el corregimiento Los Andes, al occidente de la ciudad de Cali | 3.435915 |-76.564855|monumento|https://www.google.com/imgres?imgurl=http%3A%2F%2Fwww.colombia.travel%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Factivity_banner%2Fpublic%2F13Visita-El-gato-del-rio.jpg%3Fitok%3Dx4-CDP9y&imgrefurl=http%3A%2F%2Fwww.colombia.travel%2Fes%2Fa-donde-ir%2Fpacifica%2Fcali%2Factividades%2Fvisita-el-gato-del-rio&docid=nKpuWdGE1Dn2TM&tbnid=q6kQ9lSBblGAjM%3A&vet=10ahUKEwjo2eq3hODXAhUBOCYKHVTuC2EQMwgkKAAwAA..i&w=710&h=330&client=ubuntu&bih=983&biw=1855&q=GATO%20DEL%20RIO&ved=0ahUKEwjo2eq3hODXAhUBOCYKHVTuC2EQMwgkKAAwAA&iact=mrc&uact=8
Monumento a Sebastián de Belalcázar|Cra. 2a #5 Oeste-2 | El monumento A Sebastián de Belalcázar es un monumento pedestre que se encuentra en la ciudad de Santiago de Cali, capital del Valle del Cauca.|3.4491749|-76.5452014|monumento|https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwiAi-nEhODXAhVE0iYKHcWuABEQjRwIBw&url=https%3A%2F%2Fes.wikipedia.org%2Fwiki%2FSebasti%25C3%25A1n_de_Belalc%25C3%25A1zar&psig=AOvVaw0eB8hLPFzdTSsmnzcxQveu&ust=1511916101042498
Museo La Tertulia |  Oeste, Cra. 1 #5-105 | El Museo La Tertulia, conocido anteriormente como Museo de Arte Moderno La Tertulia, es un museo de arte, el primero de arte moderno? y con la colección de obras en soporte de papel más importante del país, ? situado en la ciudad de Cali, Colombia. |3.4500785 | -76.53701460000002|cultural|https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2Fb%2Fb5%2FLa_Tertulia_7-05-2015_06.JPG%2F1200px-La_Tertulia_7-05-2015_06.JPG&imgrefurl=https%3A%2F%2Fes.wikipedia.org%2Fwiki%2FMuseo_La_Tertulia&docid=W-ZhQ0pWD7F-QM&tbnid=a4z4RjHOGm-5aM%3A&vet=10ahUKEwjq4onNhODXAhVRgSYKHcbzATIQMwgwKAAwAA..i&w=1200&h=900&client=ubuntu&bih=983&biw=1855&q=museo%20la%20tertulia&ved=0ahUKEwjq4onNhODXAhVRgSYKHcbzATIQMwgwKAAwAA&iact=mrc&uact=8
Museo Arqueológico La Merced | Cra. 4 #6-59 | El Museo arqueológico La Merced es un museo arqueológico, parte del complejo religioso la Merced, ubicado en el centro histórico de Santiago de Cali, Colombia | 4.5763842 | -74.22320909999996|cultural|https://www.google.com/imgres?imgurl=http%3A%2F%2Fhotelamericana.com.co%2Fsitio%2Fwp-content%2Fuploads%2F2016%2F12%2Fmuseo-arquelogico.jpg&imgrefurl=http%3A%2F%2Fhotelamericana.com.co%2Fsitio%2Fmuseo-arqueologico-la-merced%2F&docid=pVTAhBqCrXXTJM&tbnid=xKusJBPAo-TZqM%3A&vet=10ahUKEwiNq9TXhODXAhXLNSYKHZG0CBYQMwgoKAQwBA..i&w=800&h=600&client=ubuntu&bih=983&biw=1855&q=Museo%20Arqueol%C3%B3gico%20La%20Merced&ved=0ahUKEwiNq9TXhODXAhXLNSYKHZG0CBYQMwgoKAQwBA&iact=mrc&uact=8
Museo del Oro Calima | Cl. 7 #4-69 | El Museo del Oro Calima es un museo arqueológico dedicado a la cultura calima ubicado en el centro histórico de Santiago de Cali | 3.4500186 | -76.53582549999999|cultural|https://www.google.com/imgres?imgurl=https%3A%2F%2Fc2.staticflickr.com%2F4%2F3657%2F3491350561_59ebc7648a_z.jpg%3Fzz%3D1&imgrefurl=https%3A%2F%2Fwww.flickr.com%2Fphotos%2Fmuseodeloro%2F3491350561&docid=HUW1h6Y3ULRfQM&tbnid=u5ozNeU4K0pH3M%3A&vet=10ahUKEwixhaHqhODXAhUPxCYKHWwYCJsQMwhFKBcwFw..i&w=500&h=375&client=ubuntu&bih=983&biw=1855&q=museo%20del%20oro%20calima&ved=0ahUKEwixhaHqhODXAhUPxCYKHWwYCJsQMwhFKBcwFw&iact=mrc&uact=8			
Caliwood | Cra. 2 #55 | Caliwood es un museo de carácter tecnológico, ubicado en el oeste de Santiago de Cali, cerca al Gato del Río y el Museo de Arte Moderno La Tertulia y a lo diagonal de la Librería Nacional del Oeste y la Galería de Arte La Sucursal.  | 3.4690897 | -76.49920759999998|cultural|https://www.google.com/imgres?imgurl=http%3A%2F%2Fnoticias.calendariodecolombia.com%2Fwp-content%2Fuploads%2F2017%2F02%2FConozca-Caliwood-la-meca-del-cine-en-Colombia.jpg&imgrefurl=http%3A%2F%2Fnoticias.calendariodecolombia.com%2Fturismo%2Fconozca-caliwood-la-meca-del-cine-en-colombia&docid=lUuQHKl9gyUuDM&tbnid=as8kgm9JrpOOlM%3A&vet=10ahUKEwjU_c33hODXAhWM6iYKHa3JCDcQMwgkKAAwAA..i&w=400&h=200&client=ubuntu&bih=983&biw=1855&q=CALIWOOD&ved=0ahUKEwjU_c33hODXAhWM6iYKHa3JCDcQMwgkKAAwAA&iact=mrc&uact=8
Museo de Arte Colonial y Religioso la Merced|Cra. 4 #6-117| Es una institución cultural católica de carácter privado, que pertenece a la Congregación de Misioneras Agustinas Recoletas. |3.4503837 | -76.53635539999999|cultural|https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjv34uFheDXAhWEOCYKHZ5wBvAQjRwIBw&url=http%3A%2F%2Fhg2.com%2Fvenue%2Fmuseo-de-arte-colonial%2F&psig=AOvVaw1lsP-FGks8cg8jUdJOE8NH&ust=1511916236536707
Biblioteca Departamental Jorge Garcés Borrero|Calle 5 #24A-91, San Fernado| |3.436017| -76.539530|cultural|https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F7%2F7c%2FBiblioteca_Departamental_Jorge_Garces_Borrero_%25282%2529.JPG%2F300px-Biblioteca_Departamental_Jorge_Garces_Borrero_%25282%2529.JPG&imgrefurl=https%3A%2F%2Fes.wikipedia.org%2Fwiki%2FBiblioteca_Departamental_Jorge_Garc%25C3%25A9s_Borrero&docid=ZdLbumf7KsTyVM&tbnid=MLEpZQQbPy8j4M%3A&vet=10ahUKEwjYxMuVheDXAhVL1CYKHUvbAQMQMwglKAEwAQ..i&w=300&h=243&client=ubuntu&bih=983&biw=1855&q=biblioteca%20departamental%20cali&ved=0ahUKEwjYxMuVheDXAhVL1CYKHUvbAQMQMwglKAEwAQ&iact=mrc&uact=8
Biblioteca del Centenario|Av. 4 Nte. ##16 esquina||3.451015| -76.543727|cultural|https://www.google.com/imgres?imgurl=https%3A%2F%2Fmedia-cdn.tripadvisor.com%2Fmedia%2Fphoto-s%2F0b%2Fd0%2F1b%2Fc9%2Ffachada-biblioteca-frente.jpg&imgrefurl=https%3A%2F%2Fwww.tripadvisor.co%2FLocationPhotoDirectLink-g297475-d8674925-i198187977-Biblioteca_del_Centenario-Cali_Valle_del_Cauca_Department.html&docid=RRPawOfryHuxQM&tbnid=hHja16HtJ5nZ2M%3A&vet=10ahUKEwi4wa2gheDXAhXHMSYKHeaWD0EQMwgnKAMwAw..i&w=550&h=375&client=ubuntu&bih=983&biw=1855&q=biblioteca%20centenario&ved=0ahUKEwi4wa2gheDXAhXHMSYKHeaWD0EQMwgnKAMwAw&iact=mrc&uact=8
